name,n,wr,avg,pf,comp,mdd
P14_clv55|b35|rk_volr|tp35,71,60.563380281690144,0.5879802816901408,1.5925781876560523,47.273503886102894,-16.529047508370066
P02_tail_main|b35|rk_score|tp35,57,56.14035087719298,0.565998245614035,1.5837324469904086,34.80593924905258,-17.83543381846998
P01_tail_near|b35|rk_score|tp4,61,57.377049180327866,0.6087147540983606,1.5486688003688174,40.256099556237345,-15.838832115001477
P02_tail_main|b40|rk_score|tp35,49,57.142857142857146,0.5300265306122449,1.5322107670459786,26.980069859536428,-16.157969259212134
P10_ma60|b35|rk_score|tp35,67,59.701492537313435,0.5479328358208956,1.5200415336277895,39.90520973807325,-18.384338728948425
P19_ql_near|b35|rk_score|tp3,57,66.66666666666667,0.46711228070175437,1.5111648239411608,27.929847013290733,-10.47007599881743
P18_ql_tight|b35|rk_score|tp4,33,60.60606060606061,0.4872151515151515,1.5022381602416526,15.766275127390328,-9.139947956487404
BASE_qianlong_tail_v1|b0|live|tp3,101,66.33663366336634,0.48085544554455445,1.4936482670716162,56.36001417663004,-15.438769374707217
P19_ql_near|b35|rk_volr|tp35,57,63.1578947368421,0.4560666666666667,1.4899035299483068,27.05043579736848,-16.037462090131015
P19_ql_near|b35|rk_score|tp35,57,64.91228070175438,0.4601666666666666,1.486853950311366,27.23726061754428,-11.31911627744351
P17_ql_core|b35|rk_score|tp35,63,63.492063492063494,0.48027301587301585,1.4844314368419702,31.894607172519418,-11.906902771563477
P02_tail_main|b0|rk_score|noTP,86,46.51162790697674,0.565639534883721,1.482712358210377,52.47876312699384,-18.637015742486142
P21_ql_clv|b35|rk_score|tp35,57,64.91228070175438,0.44689999999999996,1.4728178856808751,26.2917746500114,-11.31911627744351
P01_tail_near|b40|rk_score|tp4,53,58.490566037735846,0.532077358490566,1.455963316102724,28.75200195977783,-15.838832115001466
P19_ql_near|b0|rk_score|tp3,90,65.55555555555556,0.43998666666666664,1.450675692593444,43.670549581470056,-14.588107390628657
P12_no_ma_long|b35|rk_score|tp35,70,57.142857142857146,0.4642628571428571,1.439854096596715,34.07998369974998,-14.64269104489907
P02_tail_main|b0|rk_score|tp4,86,50.0,0.46328139534883717,1.430043066694011,43.145419614077476,-18.359512296658664
P24_sweet_tight|b35|rk_score|noTP,60,35.0,0.49813499999999994,1.4263145057418471,27.765177987731704,-24.610066247151373
P02_tail_main|b35|rk_score|tp3,57,57.89473684210526,0.4107491228070176,1.4260084464039098,23.775325613386688,-19.02402408628603
P12_no_ma_long|b35|rk_volr|tp35,70,57.142857142857146,0.44684,1.4232865237343206,32.62446675649022,-14.642691044899092
P01_tail_near|b35|rk_score|tp35,61,57.377049180327866,0.46311639344262295,1.4174328194125523,28.767936729613062,-16.244662802073517
P21_ql_clv|b35|rk_volr|tp35,57,63.1578947368421,0.3822263157894737,1.3947696004087777,21.77977147153438,-17.86192491540174
P02_tail_main|b40|rk_score|tp3,49,59.183673469387756,0.3902469387755102,1.394360358762521,18.877167042195666,-17.370825681435097
P17_ql_core|b35|rk_volr|tp35,63,61.904761904761905,0.39061587301587297,1.3917775244693789,24.85052849676441,-16.593974877597784
P20_ql_heima|b35|rk_score|tp3,53,64.15094339622641,0.38493773584905655,1.3916798015654368,20.298905663569688,-10.770485132802765
P19_ql_near|b40|rk_score|tp3,50,66.0,0.369984,1.3822496259990578,18.153035245191205,-8.65654300361115
P11_ma120|b35|rk_score|tp35,63,57.142857142857146,0.42073492063492063,1.3817662791819756,26.458839227668317,-19.625901088233256
P20_ql_heima|b35|rk_score|tp35,53,62.264150943396224,0.38485471698113205,1.3786006626388618,20.11110031721357,-11.31911627744351
P14_clv55|b35|rk_score|tp35,71,57.74647887323944,0.4156732394366197,1.3773764404413005,29.987007524568043,-16.615753318394567
P19_ql_near|b35|rk_score|noTP,57,59.64912280701754,0.38290175438596497,1.3746946273294591,20.952580238034656,-13.235859086785906
P19_ql_near|b40|rk_score|tp35,50,64.0,0.37254999999999994,1.371188480652965,18.13071401925439,-9.522781582992234
P00_tail_raw|b35|rk_score|tp35,62,56.45161290322581,0.40234677419354836,1.3608726157496147,24.57456413688679,-16.86473880297521
P10_ma60|b35|rk_volr|tp35,67,58.208955223880594,0.40452238805970153,1.3460387418351556,26.969450015188755,-24.67954799515104
P01_tail_near|b40|rk_score|tp35,53,58.490566037735846,0.4022377358490566,1.3446973432955036,20.5138659682361,-16.244662802073517
P18_ql_tight|b35|rk_score|tp35,33,60.60606060606061,0.32054848484848486,1.330432419430917,9.771646273323253,-9.13994795648737
P01_tail_near|b35|rk_score|noTP,61,50.81967213114754,0.38276229508196724,1.329039804395465,21.465475581395175,-15.912870643501087
P19_ql_near|b0|rk_score|tp35,90,63.333333333333336,0.3480522222222222,1.3278710316235032,31.760410313220056,-17.043873276080536
P20_ql_heima|b35|rk_score|noTP,53,56.60377358490566,0.3563320754716981,1.3242246581457033,16.494059419716155,-14.008150843609613
P15_turn38|b35|rk_score|tp35,49,53.06122448979592,0.3361244897959184,1.3128473686409932,15.549795403608258,-17.55189295007309
P20_ql_heima|b40|rk_score|tp3,47,63.829787234042556,0.31841489361702124,1.3092326575143194,14.09400695935723,-12.360872381692223
P11_ma120|b35|rk_volr|tp35,63,58.73015873015873,0.37163492063492065,1.3092294687904482,22.417137984568992,-23.8718204946507
P02_tail_main|b35|rk_volr|tp35,57,56.14035087719298,0.3387701754385965,1.3083299003311648,18.264731863080463,-15.477661554601186
P20_ql_heima|b40|rk_score|noTP,47,55.319148936170215,0.3413872340425532,1.2941029833346778,13.333342366666479,-15.540831376618137
P19_ql_near|b0|rk_volr|tp35,90,61.111111111111114,0.3032522222222222,1.2850796608629256,26.723876874015563,-20.481268974341692
P06_heima10|b0|rk_score|tp4,88,54.54545454545455,0.36590795454545455,1.2827613399065305,31.061192927633606,-22.88569392425511
