n,per_day,hit_rate,win_rate,mean_pct,median_pct,pl_ratio,front_mean_pct,back_mean_pct,both_halves_positive,spike_mean_pct,spike_median_pct,label,k
1195342,880.22,74.125,43.341,-0.152,-0.26,1.113,-0.2117,-0.1107,False,1.932,1.2438,breadth≥55 & rsi6≤75 & range_contract≤1.2,3
518790,382.03,68.986,41.576,-0.1521,-0.26,1.115,-0.2014,-0.1221,False,1.372,0.9113,atr_pct≤3.5 & breadth≥55 & range_contract≤1.2,3
1509670,1111.69,74.155,43.04,-0.1522,-0.26,1.129,-0.2049,-0.1152,False,1.96,1.2545,pct_chg≥-3 & pct_chg≤5 & breadth≥55,3
1684263,1240.25,74.457,43.153,-0.1523,-0.291,1.137,-0.2215,-0.1036,False,2.0829,1.3119,breadth≥55,1
330723,243.54,77.233,43.88,-0.1523,-0.3614,1.127,-0.2924,-0.0543,False,2.4469,1.6701,pct_chg≥2 & pct_chg≤7 & range_contract≤1.2,3
142142,104.67,74.702,42.258,-0.1523,-0.3716,1.161,-0.2677,-0.0676,False,1.9289,1.3072,pct_chg≥2 & atr_pct≤4.5 & range_contract≤1.2,3
703355,517.93,73.667,43.4,-0.1524,-0.26,1.103,-0.2134,-0.1119,False,1.8635,1.2061,breadth≥55 & turnover≤15 & range_contract≤0.8,3
1313854,967.49,75.705,43.589,-0.1526,-0.3366,1.131,-0.2366,-0.0988,False,2.2666,1.4621,breadth≥55 & turnover≥1,2
649246,478.09,73.025,41.627,-0.1527,-0.3561,1.205,-0.2512,-0.0876,False,2.0449,1.209,pct_chg≥0 & hhv60_pos≥0.85 & breadth≥55,3
103827,76.46,70.94,40.335,-0.1528,-0.5693,1.321,-0.542,0.1697,False,2.6098,1.5119,clv≥0.85 & pct_chg≥0 & vol_ratio≥1.5,3
320349,235.9,73.558,40.247,-0.1528,-0.4383,1.259,-0.2923,-0.059,False,1.9318,1.1976,atr_pct≤3.5 & ma20_bias≥3 & turnover≥1,3
549058,404.31,73.471,42.769,-0.153,-0.26,1.134,-0.2428,-0.0989,False,1.9307,1.2428,clv≥0.7 & breadth≥55 & range_contract≤1.2,3
230619,169.82,71.936,40.667,-0.1534,-0.4264,1.24,-0.3024,-0.0353,False,1.8872,1.1931,pct_chg≥2 & pct_chg≤7 & atr_pct≤3.5,3
